169,2 14 Sep 2020 Pete Dunten San Luis Reservoir SRA--Fisherman's Pt. ,Sterna hirundo 
170,"1 11 Sep 2020 Steve Johnston Merced National Wildlife Refuge, Merced US-CA 37.18238, -120.62006 ",Tringa solitaria 
171,1 10 Sep 2020 Pete Dunten San Luis Reservoir SRA--Basalt Campground ,Contopus cooperi 
172,1 10 Sep 2020 Pete Dunten San Luis Reservoir SRA--Basalt Campground ,Catharus ustulatus 
173,2 10 Sep 2020 Pete Dunten San Luis Reservoir SRA--Fisherman's Pt. ,Phalaropus lobatus 
174,1 6 Sep 2020 Pete Dunten San Luis Reservoir SRA--Basalt Campground ,Passerina amoena 
175,2 6 Sep 2020 Pete Dunten Lone Tree trail ,Bucephala albeola 
176,18 5 Sep 2020 Eldon Scott Henderson Park ,Meleagris gallopavo 
177,4 5 Sep 2020 Sam Fellows Merced NWR ,Phalaropus tricolor 
178,1 1 Sep 2020 Dale Swanberg Lake Yosemite ,Myiarchus cinerascens 
179,5 18 Aug 2020 Dale Swanberg Los Banos WTP (restricted access) ,Recurvirostra americana 
180,100 18 Aug 2020 Dale Swanberg Los Banos WTP (restricted access) ,Pluvialis squatarola 
181,"4 6 Aug 2020 Brandy Rucker 13555 Badger Flat Road, Los Banos, California, US (37.09, -120.879) ",Icterus bullockii 
182,1 21 Jul 2020 Karen McClure Merced River--Hornitos Rd. (MER Co.) ,Lophodytes cucullatus 
183,"3 14 Jul 2020 Alex Single Merced River, California, US (37.471, -120.501) ",Passerina caerulea 
184,"1 11 Jul 2020 Sam Fellows 1051 W 20th St, Merced US-CA 37.30795, -120.48990 ",Aeronautes saxatalis 
185,2 17 Jun 2020 Sam Fellows Lake Yosemite ,Sterna forsteri 
186,"1 9 Jun 2020 Alex Single California Aqueduct MP 86 (36.934, -120.832) ",Aythya americana 
187,1 2 Jun 2020 D Krajnovich Lake Yosemite Co. Park ,Setophaga americana 
188,1 23 May 2020 Sam Fellows Merced NWR ,Chlidonias niger 
189,1 14 May 2020 John Sterling Cottonwood Creek Wildlife Area--Upper Unit ,Cyanocitta stelleri 
190,1 13 May 2020 Bradley Hacker Pacheco SP (MER Co.) ,Chamaea fasciata 
191,1 12 May 2020 Dale Swanberg Los Banos WTP (restricted access) ,Numenius phaeopus 
192,2 8 May 2020 Sam Fellows Merced NWR ,Charadrius semipalmatus 
193,1 4 May 2020 Dale Swanberg Pacheco SP (MER Co.) ,Calypte costae 
194,1 4 May 2020 Dale Swanberg Cottonwood Creek Wildlife Area--Upper Unit ,Aimophila ruficeps 
195,"1 30 Apr 2020 Sam Fellows 1053 W 20th St, Merced US-CA 37.30763, -120.49021 ",Chaetura vauxi 
196,1 26 Apr 2020 David Dunham US-CA-Merced-2470 Piedmont Dr - 37.3026x-120.4386 ,Selasphorus rufus 
197,1 23 Apr 2020 logan kahle San Luis Reservoir SRA--Basalt Campground ,Empidonax wrightii 
198,1 23 Apr 2020 logan kahle Dinosaur Pt Rd Ridge (MER co.) ,Empidonax hammondii 
199,1 23 Apr 2020 logan kahle Cottonwood Creek Wildlife Area--Upper Unit ,Selasphorus calliope 
200,22 8 Apr 2020 Ralph Baker Santa Fe Grade--Hwy 140 to Hwy 165 ,Anser caerulescens 
201,2 4 Apr 2020 Dennis Weiler Merced NWR--Auto Loop ,Aythya valisineria 
202,1 20 Mar 2020 Dale Swanberg Snelling Rd. ,Bucephala clangula 
203,2000 12 Mar 2020 Cara Barnhill Merced NWR--Auto Loop ,Anser rossii 
204,100 6 Mar 2020 Sean McAllister O'Neill Forebay ,Aythya marila 
205,"2 5 Mar 2020 Sean McAllister San Luis Reservoir State Recreation Area, Gustine US-CA 37.07532, -121.07224 ",Mergus serrator 
206,6 28 Feb 2020 Robert Shields Merced NWR--Auto Loop ,Cygnus columbianus 
207,1 28 Feb 2020 Robert Shields Merced NWR--Auto Loop ,Larus glaucescens 
208,1 23 Feb 2020 D Krajnovich Lake Yosemite Co. Park ,Spinus pinus 
209,1 23 Feb 2020 Dale Swanberg E. South Bear Creek Dr./S. Waltz Rd.--east of N. Cunningham Rd. ,Buteo lagopus 
210,"4 22 Feb 2020 Anonymous eBirder Merced National Wildlife Refuge, Merced US-CA (37.1796,-120.6241) ",Chroicocephalus philadelphia 
211,1 22 Feb 2020 Cheryl D Johnson Bear Creek--S Waltz Rd. stream crossing (MER Co.) ,Falco mexicanus 
212,"10 22 Feb 2020 Cheryl D Johnson 1789 South Fresno Road, Le Grand, California, US (37.261, -120.243) ",Sialia currucoides 
213,1 22 Feb 2020 Anonymous eBirder Gun Club Rd.--east of Azavedo Rd. ,Mareca penelope 
214,1 12 Feb 2020 Shantanu Phukan Merced NWR ,Regulus satrapa 
215,"30 31 Jan 2020 Lucas Corneliussen 95317, El Nido US-CA (37.1686,-120.5321) ",Charadrius montanus 
216,2 20 Jan 2020 Dmytro Kuzmin Merced NWR--parking and observation deck ,Megascops kennicottii 
217,3 30 Dec 2019 Gary Mele Billy Wright Landfill ,Larus glaucoides 
218,1 2 Dec 2019 Timothy Berger Los Banos Wildlife Area ,Asio flammeus 
219,1 29 Nov 2019 Rob Fowler San Luis Reservoir SRA--Medeiros area ,Gavia immer 
220,"1 24 Nov 2019 Stephanie East Grasslands Wildlife Management Area, Los Banos US-CA (37.2706,-120.8455) ",Tringa semipalmata 
221,1 9 Nov 2019 Kent Van Vuren O'Neill Forebay ,Bucephala islandica 
222,"1 6 Oct 2019 Melissa Johnson CA-152 W, Gustine US-CA (37.0835,-121.1929) ",Geococcyx californianus 
223,1 29 Sep 2019 marigold ardron Merced NWR ,Limosa fedoa 
224,1 12 Sep 2019 Gary Woods San Luis Reservoir SRA--Basalt Campground ,Icteria virens 
225,1 11 Sep 2019 Kent Van Vuren Los Banos WTP (restricted access) ,Pluvialis fulva 
226,2 11 Sep 2019 Kent Van Vuren Los Banos WTP (restricted access) ,Calidris alba 
227,2 18 Aug 2019 Pete Dunten San Luis Reservoir SRA--Fisherman's Pt. ,Calidris bairdii 
228,"1 12 Jun 2019 Don Glasco 1313 W Sandy Mush Rd, Merced US-CA (37.1858,-120.5143) ",Icterus cucullatus 
229,2 19 May 2019 Chris Johnson Los Banos Wildlife Area ,Cypseloides niger 
230,1 4 May 2019 Pete Dunten upper Dinosaur Point Road ,Dryobates villosus 
