name 	 ottid 	 sources 	 node_id 	 notes
Myrothamnaceae	725735	ncbi:83221,gbif:3723697,irmng:113107	ott725735	
Stichosiphonaceae	4017550	worms:599620,gbif:4893361,irmng:119696	ott4017550	
Noctuidae	742352	ncbi:7100,worms:989032,gbif:7015,irmng:114179	mrcaott100ott677	
Lissorchiidae	948816	ncbi:986156,worms:148283,gbif:6419,irmng:113054	ott948816	
Aulacidae	898870	ncbi:315838,gbif:4335,irmng:109760	ott898870	
Tainisopidae	566112	worms:248320,ncbi:468565,gbif:5767,irmng:107999	ott566112	
Prionoceridae	794465	ncbi:365805,gbif:4290675,irmng:117271	ott794465	
Phrynosomatidae	106818	ncbi:2024743,gbif:5016,irmng:105453	ott106818	
Thompsoniidae	47717	ncbi:399064,worms:293297,gbif:8958,irmng:106788	ott47717	
Cavoliniidae	229381	worms:23000,ncbi:216329,gbif:6525,irmng:102737	ott229381	
Philomedidae	927799	ncbi:84324,worms:127483,gbif:9195,irmng:106861	ott927799	
Solenoceridae	953096	worms:106729,ncbi:84683,gbif:7011,irmng:109643	ott953096	
Thambematidae	3001972	worms:118271,ncbi:525169,gbif:2040,irmng:110996	ott3001972	
Homungellidae	832027	ncbi:487609,worms:582941,gbif:4281910,irmng:113780	ott832027	
Zoopagaceae	157881	if:81537,ncbi:78902,worms:988535,gbif:7553,irmng:110521	ott157881	
Novocriniidae	2953864	worms:115166,gbif:4303212,irmng:108096	ott2953864	
Aspidytidae	798855	ncbi:183863,gbif:4293582,irmng:107418	ott798855	
Proneomeniidae	2849970	worms:23104,ncbi:1500378,gbif:3489,irmng:112786	ott2849970	
Boliniaceae	580341	if:80526,ncbi:45489,gbif:8408,irmng:107135	ott971709	Maps to same node as: Bionectriaceae - Ophiostomataceae - Hypocreaceae - Ophiocordycipitaceae - Clavicipitaceae - Cordycipitaceae - Mycosphaerellaceae - Magnaporthaceae - Plectosphaerellaceae - Calosphaeriaceae - Cladosporiaceae - Annulatascaceae - Nectriaceae - Herpotrichiellaceae - Boliniaceae - Ceratocystidaceae
Olpidiaceae	41885	if:81080,ncbi:70187,worms:164152,gbif:1958,irmng:101047	ott41885	
Ephemerythidae	5015541	gbif:7197212	ott5015541	
Humerobatidae	331807	ncbi:229842,worms:508143,gbif:7436,irmng:105993	ott331807	
Notoscyphaceae	7044807	ncbi:1920219,gbif:9473225	ott7044807	
Kadosactinidae	878206	worms:853975,gbif:7619050,irmng:108153	ott878206	
Acipenseridae	378907	ncbi:7900,worms:125424,gbif:2947,irmng:114136	ott378907	
Harpanthaceae	7044800	ncbi:2307035,gbif:9618917	ott7044800	
Onchobothriidae	342867	ncbi:56709,worms:104943,gbif:2241,irmng:106909	ott342867	
Protomicrocotylidae	3669825	ncbi:1414845,worms:119250,gbif:3168,irmng:114540	ott3669825	
Synthetonychiidae	817434	ncbi:864105,gbif:9628016	ott817434	
Fusivermidae	3584981	worms:416295,gbif:6484452,irmng:120024	ott3584981	
Cercyridae	823180	ncbi:391258,worms:142116,gbif:4344664,irmng:115330	ott823180	
Ptychocarpaceae	6003131	gbif:8461809	ott6003131	
Formicidae	7376225	ncbi:36668,worms:425369,gbif:4342,irmng:101758	ott7376225	
Milichiidae	615007	ncbi:305559,gbif:9496,irmng:101685	ott615007	
Zygometridae	537153	ncbi:707759,worms:246666,gbif:4305368,irmng:110483	ott537153	
Schizochoeridae	743830	ncbi:108233,worms:370475,gbif:3025,irmng:104730	ott743830	
Etheliaceae	5923686	ncbi:1819309,gbif:10252091	ott5923686	
Amidostomatidae	10068	ncbi:108463,worms:22822,gbif:2713	ott10068	
Porellaceae	126774	ncbi:56912,gbif:2267,irmng:114328	ott126774	
Paramunnidae	3000938	worms:118266,gbif:5382,irmng:106623	ott3000938	
Stenostiridae	513100	ncbi:528170,gbif:5845175	ott513100	
Icosteidae	408394	ncbi:215384,worms:151400,gbif:9668,irmng:112017	ott408394	
